klucz,short_name,nationality,club_name,league_name,position
00014204,C. Costin,Romania,FC Voluntari,Romanian Liga I,RB
00010725,C. Cruz,Ecuador,LDU Quito,Ecuadorian Serie A,LB
00008855,C. Cuero,Ecuador,SD Aucas,Ecuadorian Serie A,LB
00001977,C. Cueva,Peru,Yeni Malatyaspor,Turkish Süper Lig,CAM
00006636,C. Cuevas,Chile,CD Huachipato,Chilian Campeonato Nacional,LWB
00017677,C. Davis,Republic of Ireland,Cork City,Rep. Ireland Airtricity League,ST
00006632,C. Dawson,England,Sheffield Wednesday,English League Championship,GK
00003594,C. Deac,Romania,CFR Cluj,Romanian Liga I,RW
00009762,C. Devlin,Australia,Wellington Phoenix,Australian Hyundai A-League,RDM
00008258,C. Diaz,Argentina,Central Córdoba,Argentina Primera División,RB
00010592,C. Diedhiou,Senegal,FC Sochaux-Montbéliard,French Ligue 2,RCB
00013853,C. Dinu,Romania,Chindia Târgoviºte,Romanian Liga I,LCB
00010089,C. Diop,Senegal,Montreal Impact,USA Major League Soccer,GK
00008310,C. Doidge,Wales,Hibernian,Scottish Premiership,LS
00009914,C. Donaldson,Scotland,Ross County FC,Scottish Premiership,RCB
00009258,C. Dorda,Germany,KFC Uerdingen 05,German 3. Bundesliga,LB
00006372,C. Doucoure,Mali,Racing Club de Lens,French Ligue 1,RCM
00016679,C. Dumitru,Romania,Academica Clinceni,Romanian Liga I,LM
00008514,C. Durkin,United States,Sint-Truidense VV,Belgian Jupiler Pro League,RM
00009433,C. Duvall,United States,Portland Timbers,USA Major League Soccer,RB
00006633,C. Elder,Australia,Hull City,English League One,LB
00007638,C. Elva,Canada,FC Ingolstadt 04,German 3. Bundesliga,LM
00008135,C. Erbes,Argentina,Atlético Tucumán,Argentina Primera División,CDM
00000095,C. Eriksen,Denmark,Inter,Italian Serie A,CAM
00014350,C. Eriksson,Finland,Mjällby AIF,Swedish Allsvenskan,GK
00001360,C. Erkin,Turkey,Fenerbahçe SK,Turkish Süper Lig,LB
00002208,C. Espinoza,Argentina,San Jose Earthquakes,USA Major League Soccer,RM
00010405,C. Evans,Wales,Fleetwood Town,English League One,ST
00003777,C. Fai,Cameroon,Standard de Liege,Belgian Jupiler Pro League,RB
00001763,C. Fassnacht,Switzerland,BSC Young Boys,Swiss Super League,RM
00007305,C. Flores,Venezuela,Estudiantes de Mérida,Venezuelan Primera División,LM
00015338,C. Forrester,Republic of Ireland,St. Patrick's Athletic,Rep. Ireland Airtricity League,RCM
00005196,C. Forsyth,Scotland,Derby County,English League Championship,LB
00010338,C. Frasinescu,Romania,Politehnica Iaºi,Romanian Liga I,RCB
00004035,C. Fuentes,Chile,Colo-Colo,Chilian Campeonato Nacional,RCM
00002083,C. Gakpo,Netherlands,PSV,Holland Eredivisie,LAM
00005138,C. Gamboa,Costa Rica,VfL Bochum 1848,German 2. Bundesliga,RB
00006313,C. Garces,Ecuador,Delfín SC,Ecuadorian Serie A,RS
00011143,C. Gasper,United States,Minnesota United FC,USA Major League Soccer,LB
00015911,C. Gasser,Switzerland,FC Vaduz,Swiss Super League,RCB
00002268,C. Gentner,Germany,1. FC Union Berlin,German 1. Bundesliga,CAM
00003263,C. Goldson,England,Rangers FC,Scottish Premiership,RCB
00002734,C. Gonzalez,Paraguay,U.N.A.M.,Mexican Liga MX,RS
00011682,C. Good,Australia,Melbourne City FC,Australian Hyundai A-League,LCB
00003654,C. Goodwin,Australia,Al Wehda,Saudi Abdul L. Jameel League,LM
00012462,C. Grant,England,Plymouth Argyle,English League One,RCM
00009940,C. Greger,Germany,SpVgg Unterhaching,German 3. Bundesliga,LCB
00013185,C. Gribbin,England,Barrow,English League Two,CAM
00009130,C. Grindheim,Norway,FK Haugesund,Norwegian Eliteserien,CM
00002735,C. Guanca,Argentina,Al Shabab,Saudi Abdul L. Jameel League,RCM
00000866,C. Gunter,Germany,SC Freiburg,German 1. Bundesliga,LB
00014274,C. Guy,England,Carlisle United,English League Two,RCM
00002915,C. Gytkjaer,Denmark,AC Monza,Italian Serie B,LS
00015333,C. Hall,England,Harrogate Town,English League Two,LCB
00012529,C. Hamilton,England,Blackpool,English League One,RW
00015858,C. Harkin,Northern Ireland,Derry City,Rep. Ireland Airtricity League,RM
00014088,C. Harries,Wales,Bristol Rovers,English League One,LCB
00011672,C. Hemlein,Germany,SV Meppen,German 3. Bundesliga,RM
00014953,C. Hendry,Scotland,St. Johnstone FC,Scottish Premiership,ST
00001745,C. Herelle,France,Stade Brestois 29,French Ligue 1,LCB
00016008,C. Herrera,Uruguay,River Plate Montevideo,Uruguayan Primera División,LCB
00004703,C. Hojer,Denmark,Aarhus GF,Danish Superliga,LB
00013569,C. Horgan,Republic of Ireland,Derry City,Rep. Ireland Airtricity League,RB
00007722,C. Hountondji,Benin,Clermont Foot 63,French Ligue 2,RCB
00001904,C. Hourihane,Republic of Ireland,Aston Villa,English Premier League,LCM
00012966,C. Huerta,Mexico,Mazatlán FC,Mexican Liga MX,RM
00009286,C. Hussey,England,Cheltenham Town,English League Two,LWB
00000044,C. Immobile,Italy,Lazio,Italian Serie A,RS
00009621,C. Itu,Romania,CFR Cluj,Romanian Liga I,RCM
00000873,C. Izquierdoz,Argentina,Boca Juniors,Argentina Primera División,RCB
00011500,C. Jakobsen,Denmark,Lyngby BK,Danish Superliga,RW
00004334,C. Jenkinson,England,Nottingham Forest,English League Championship,RB
00011427,C. Johansson,Sweden,Falkenbergs FF,Swedish Allsvenskan,CB
00008756,C. Johnson,England,Portsmouth,English League One,RB
00011591,C. JongAPin,Netherlands,Yokohama FC,Japanese J. League Division 1,LCB
00001664,C. Jullien,France,Celtic,Scottish Premiership,RCB
00001311,C. Kabasele,Belgium,Watford,English League Championship,LCB
00014736,C. Kelman,United States,Southend United,English League Two,ST
00017070,C. Kilduff,Republic of Ireland,Shelbourne FC,Rep. Ireland Airtricity League,ST
00012086,C. Kinsombi,Germany,KFC Uerdingen 05,German 3. Bundesliga,RM
00014995,C. Kirby,England,Harrogate Town,English League Two,LCM
00008567,C. Kirk,England,Crewe Alexandra,English League One,LW
00008076,C. Klem,Austria,TSV Hartberg,Austrian Football Bundesliga,LB
00001577,C. Kouame,Ivory Coast,Fiorentina,Italian Serie A,RS
00012548,C. Krempicki,Germany,MSV Duisburg,German 3. Bundesliga,LCM
00008017,C. Kum,Germany,VVV-Venlo,Holland Eredivisie,LCB
00006145,C. Labrin,Chile,Audax Italiano,Chilian Campeonato Nacional,RCB
00006073,C. Lampe,Bolivia,Always Ready,Liga de Fútbol Profesional Boliviano,GK
00003224,C. Larin,Canada,Beºiktaº JK,Turkish Süper Lig,ST
00011849,C. Latorre,Uruguay,Club Blooming,Liga de Fútbol Profesional Boliviano,RDM
00012613,C. Lavery,Northern Ireland,Walsall,English League Two,ST
00007660,C. Leemans,Netherlands,PEC Zwolle,Holland Eredivisie,RW
00000070,C. Lenglet,France,FC Barcelona,Spain Primera Division,LCB
00004796,C. Lenz,Germany,1. FC Union Berlin,German 1. Bundesliga,LM
00012688,C. Lines,England,Northampton Town,English League One,RCM
00007182,C. Lizarazo,Colombia,Deportivo Cali,Colombian Liga Postobón,CAM
00008802,C. Long,England,Motherwell,Scottish Premiership,ST
00004355,C. Lowe,Germany,SG Dynamo Dresden,German 3. Bundesliga,LB
00004182,C. Lucchetti,Argentina,Atlético Tucumán,Argentina Primera División,GK
00001291,C. Luyindama,DR Congo,Galatasaray SK,Turkish Süper Lig,LCB
00007849,C. Lykogiannis,Greece,Cagliari,Italian Serie A,LB
00006757,C. MacGillivray,Scotland,Portsmouth,English League One,GK
00010661,C. Machado,Bolivia,Club Bolívar,Liga de Fútbol Profesional Boliviano,LCM
00016204,C. MacPherson,Scotland,St. Mirren,Scottish Premiership,RCM
00002264,C. Maggio,Italy,Benevento,Italian Serie A,RB
00012478,C. Maghoma,DR Congo,Gillingham,English League One,RCB
00007993,C. Maguire,Scotland,Sunderland,English League One,RW
00011354,C. Mancilla,Colombia,Deportivo Binacional,Peruvian Primera División,LCB
00006312,C. Mandouki,France,Paris FC,French Ligue 2,RCM
00008054,C. Martin,Scotland,Bristol City,English League Championship,LS
00007239,C. Martinez,Paraguay,CD Huachipato,Chilian Campeonato Nacional,LS
00011667,C. Martinez,Colombia,LDU Quito,Ecuadorian Serie A,RS
00004549,C. Martins,Luxembourg,BSC Young Boys,Swiss Super League,RCM
00009371,C. Matei,Romania,FC Viitorul,Romanian Liga I,RCM
00003333,C. Mathenia,Germany,1. FC Nürnberg,German 2. Bundesliga,GK
00004295,C. Mavinga,DR Congo,Toronto FC,USA Major League Soccer,LCB
00008221,C. Maxwell,Wales,Blackpool,English League One,GK
00001668,C. Mbemba,DR Congo,FC Porto,Portuguese Liga ZON SAGRES,RCB
00013741,C. McAleny,England,Oldham Athletic,English League Two,LS
00014937,C. McCarthy,Republic of Ireland,St. Mirren,Scottish Premiership,RCB
00014591,C. McCormack,Republic of Ireland,Derry City,Rep. Ireland Airtricity League,RDM
00013361,C. McGrandles,Scotland,Lincoln City,English League One,LCM
00001011,C. McGregor,Scotland,Celtic,Scottish Premiership,LDM
00008986,C. Melgar,Bolivia,Jorge Wilstermann,Liga de Fútbol Profesional Boliviano,RCM
00012145,C. Menacho,Bolivia,Club Blooming,Liga de Fútbol Profesional Boliviano,ST
00017189,C. Menacho,Bolivia,Club Blooming,Liga de Fútbol Profesional Boliviano,RM
00002533,C. Mepham,Wales,Bournemouth,English League Championship,LCB
00018204,C. Merrie,England,Wigan Athletic,English League One,LDM
00003171,C. Michelin,France,Racing Club de Lens,French Ligue 1,RWB
00011456,C. Missilou,Congo,Northampton Town,English League One,CM
00004154,C. Monschein,Austria,FK Austria Wien,Austrian Football Bundesliga,ST
00012745,C. Montano,Colombia,Port Vale,English League Two,LB
00001544,C. Montes,Mexico,Monterrey,Mexican Liga MX,RCB
00011099,C. Morris,England,Milton Keynes Dons,English League One,RS
00006669,C. Mueller,United States,Orlando City SC,USA Major League Soccer,RW
00007390,C. Munder,Chile,Universidad Católica,Chilian Campeonato Nacional,RM
00012365,C. Negut,Romania,Chindia Târgoviºte,Romanian Liga I,RM
00006724,C. Nelson,England,Cardiff City,English League Championship,LCB
00008420,C. Neumann,Paraguay,Sport Huancayo,Peruvian Primera División,ST
00008905,C. Neyra,Peru,Melgar FBC,Peruvian Primera División,LB
00000379,C. Nkunku,France,RB Leipzig,German 1. Bundesliga,LAM
00008084,C. Noone,England,Melbourne City FC,Australian Hyundai A-League,RW
00002594,C. Norgaard,Denmark,Brentford,English League Championship,CDM
00014432,C. Norman,England,Walsall,English League Two,RB
00004650,C. Nunnely,Netherlands,Willem II,Holland Eredivisie,RW
00004907,C. Nyman,Sweden,IFK Norrköping,Swedish Allsvenskan,ST
00005954,C. Obasi,Nigeria,SCR Altach,Austrian Football Bundesliga,RS
00008629,C. Ogbene,Nigeria,Rotherham United,English League Championship,RM
00008678,C. Ogilvie,England,Gillingham,English League One,LB
00007417,C. OHare,England,Coventry City,English League Championship,LW
00013245,C. OKeeffe,Republic of Ireland,Mansfield Town,English League Two,RWB
00004662,C. Okoroji,England,SC Paderborn 07,German 2. Bundesliga,LB
00007509,C. Operi,Ivory Coast,La Berrichonne de Châteauroux,French Ligue 2,LB
00000840,C. Ortiz,Paraguay,Monterrey,Mexican Liga MX,LDM
00007216,C. Osmanpasa,Turkey,Sivasspor,Turkish Süper Lig,LCB
00015199,C. OToole,Australia,Newcastle Jets,Australian Hyundai A-League,LWB
00010265,C. Pain,Australia,Western United FC,Australian Hyundai A-League,LWB
00004286,C. Pantilimon,Romania,Denizlispor,Turkish Süper Lig,GK
00000520,C. Pavon,Argentina,LA Galaxy,USA Major League Soccer,LM
00001961,C. Pellerano,Argentina,Independiente del Valle,Ecuadorian Serie A,CDM
00005440,C. Pickel,Switzerland,Grenoble Foot 38,French Ligue 2,RDM
00009963,C. Pym,England,Peterborough United,English League One,GK
00003044,C. Quintana,Argentina,Argentinos Juniors,Argentina Primera División,LCB
00010178,C. Raglan,England,Cheltenham Town,English League Two,RCB
00013470,C. Randall,England,Ross County FC,Scottish Premiership,RB
00006118,C. Rapa,Romania,Cracovia,Polish T-Mobile Ekstraklasa,RB
00011472,C. Reilly,Republic of Ireland,AFC Wimbledon,English League One,LCM
00011229,C. Reiner,Austria,SV Ried,Austrian Football Bundesliga,RCB
00005259,C. Riano,Argentina,Central Córdoba,Argentina Primera División,LS
00008436,C. Richards,United States,Bayern München II,German 3. Bundesliga,RCB
00006827,C. Riegler,Austria,SKN St. Pölten,Austrian Football Bundesliga,GK
00001982,C. Rius,Argentina,Defensa y Justicia,Argentina Primera División,RM
00010028,C. Rivas,Venezuela,Estudiantes de Mérida,Venezuelan Primera División,RCM
00009376,C. Rivero,Venezuela,Caracas FC,Venezuelan Primera División,RCB
00006950,C. Riveros,Paraguay,Nacional Asunción,Paraguayan Primera División,RCM
00005361,C. Rizzuto,Germany,FC Erzgebirge Aue,German 2. Bundesliga,LM
